review_body,stars_number,course_stage,user_name,last_update
Incredibly valuable course. Probability is a foundational topic that needs to be thoroughly internalized for follow-on work in the sciences - these instructors are quite literally among the best in the world and have absolutely achieved this in an online setting. Well-paced  challenging and incredibly rewarding. Thank you MIT and thank you professors Tsitsiklis  Jaillet and Bertsekas!,10,Completed,h c,2 years  3 months ago
Truly excellent in every dimension. Beautiful constructed lectures  fantastic TAs  challenging and rewarding problem sets  fantastic material.   Challenging to keep up with the workload but well worthwhile.   Best MOOC I've taken by a good margin.,10,Completed,Hal Ashburner,3 months ago
This is an introductory course on probability theory  but  it's very hard (after all  it's from MIT). The materials  which have covered all the related topics on probability  are organized quite well and illustrated in a gradual and clear way. A lot of difficult exercises are required  but they are very useful to help students understand the concepts and master the calculation ways. The whole course lasts for 16 weeks (oh my god!)  but when I insist on to the end  I have learnt so much and feel so satisfied. Thank you  Prof. John Tsitsiklis and the course staff!,10,Completed,Jiting Tian,5 months ago
Amazing course  a must do for all those aspiring to be machine learning engineers. The presentation is very clear and concise  and presented in an intuitive way.,10,Taking Now,Divya K,8 months  1 week ago
It's really nerdy.  It's profoundly math-y.  It's quite challenging  often mind-bendingly so.  And it is  without a doubt  the best-taught  most comprehensive probability course out there or even imaginable.  Over 16 fast-paced weeks  this course covers every major topic in probability and zips through statistics for good measure.  The syllabus includes combinatorics  conditional probability and Bayes' Rule  random variables of many types  expectation and variance  covariance and correlation  error and estimation  the law of large numbers and the Central Limit Theorem  Poisson and Bernoulli processes  and Markov chains.  There are weekly problem sets  two midterm-like exams and a final  and graded in-lecture exercises.  Expect to spend 10 to 15 hours a week on the course.  The lectures are given primarily by Prof. Tsitsiklis  but for each unit there is also an ESSENTIAL sequence of (ungraded) solved problems taught by a team of extremely talented TAs.  These and the in-lecture exercises  which count for a small fraction of the grade  really provide the intellectual framework for the problem sets and exams.  Don't skip them  and even if you got an answer right  read the provided solutions!  The rigorous  often abstract thought processes needed to succeed with the material are not natural -- you really have to train your mind to work in new ways  and the exercises and solved problems show the way.  The staff is enthusiastic and responsive  while some MOOCs enter a kind of zombie mode after the first couple of sessions  this one retains the energy of a brand-new offering.    If I have one modest complaint about the course  it's the relentlessly theoretical perspective.  To me  probability problems take on life when they're about batting averages  the spread of disease  and stochastic phenomena in nature.  In this course  most of the problems involve cards  coins  and characters named Alice and Bill.  You may be charmed by esoteric distinctions between numbers and random variables  but i could have used a little more Moneyball.  This  however  is a minor quibble.  The material is foundational and supremely valuable across innumerable scientific and technical disciplines.  Make the necessary time and devote the required effort  and the rewards will more than compensate.,10,Completed,Steven Frank,8 months  2 weeks ago
"An excellent cource in probability theory!  It is pretty challenging  especially in the middle  but  as it's said  ""no pain - no gain"" :) I used to spend 20+ hours per week during some weeks.  This course gives one a solid understanding of probability theory fundamentals. Highly recommended for everyone except those who do already have a solid background in probability theory (the course will seem too basic) and those who just want to get some intuition about probability without going into details (the course will seem too hard).",10,Completed,Mikhail Surovikov,8 months  2 weeks ago
In order to get the most out of this course in my opinion you need to be prepared to commit a substantial amount of time  perhaps more than the advertised amount  particularly if you have no prior knowledge of the subject matter. However  if you do spend this time  you will find the lecturers are top notch (as well as the TAs). The structure of the course attempts to mirror the on-campus version of lectures  recitations  homework and exams to immerse you thoroughly and all-in-all  provides a excellent introduction.,10,Completed,mark m0001,8 months  2 weeks ago
"Pros :   Course Content :  Simply one word - Excellent !! Provided that you are determined to put extra effort ! This is not an easy (""cake walk"") kind of MOOC like others. At the end of this course you will take away a lot ! You will feel that you have a good knowledge of the subject !  And I can not stop my self from saying --   I love you Prof. John Tsitsiklis and I love you  MIT !  Instructor:  I have no words to describe how good is a teaching style of Prof. John Tsitsiklis - he is just amazing. More importantly  he doesn't *assume* that the audiance knows the concept.  He explains each and everything in great detail so at the end of the course you will feel  that you have gained a lot from this course !  lots of quizes  problems for solid conceptual clarity !  Provider : I really like the ambiance and structure the way edX has organized the course material. I have taken courses from Coursera  Udacity etc. But I love edX the most.. Well researched way of organizing the course material.  Cons:  I think MIT should add may be 20-25% extra time for completing assignments. I am a working professional and took up the course with ""Verified Certificate""  although I am highly motivated to get the certificate  but at the end of Chap. 7 I lost the track. All assinment submissions were on Thursday in my timezone (India) and I am ususally very busy from Mon-Fri. So I could not complete the assignments - Not because I could not solve the problems  but because the deadline was during weekdays - so I couldn't even look at the problems !! I think MIT must keep the deadline only on weekends or Monday for all timezones  even if it means giving extra time and extra problems to solve. This is the only flaw I found in this course.  Although I have lost the chance of earning the certificate I am determined to look at all the problems and solve them and complete the course. Hopefully it will greatly enhance my understanding of Probability theory.  --  Thank you edX  MIT and Prof. Tsitsiklis for a great work !",10,Taking Now,Onkar Mahajan,9 months ago
"Simply outstanding. This topic can be a bit boring and dry to study from a book but the professor and excellent TAs do a fantastic job in running this finely crafted and refined course like clockwork. I will be forever indebted to the MITx team and the professor in particular for providing such an outstanding learning experience.    The course is a pretty big time commitment and runs for a lot longer than the typical ""dumbed down"" online courses and I am really grateful for it.",10,Taking Now,Student,9 months  4 weeks ago
The division and sequence of lectures and exercises is the best. The content has been delivered in very concise way and a lot of practical examples have been given. Awesomeness overloaded.,10,Taking Now,Siddharth Yadav,10 months ago
Terrific course. This course was much more informative and useful than any of the statistics coursework I took as a graduate student in the natural sciences at Michigan State University. The teaching was also at a much higher caliber.,10,Completed,Rohan M,1 year ago
This is by far the best probability & statistics course available--online or in the classroom. I took a related course from another university and was lost and confused until I found this course. I have also viewed several related MOOCs from other providers  and they are nowhere near as effective and informative as this one. Thank you to the professors  teaching assistants  and MIT for making this invaluable resource available to the world! Please consider offering this as a self-paced course to earn a certificate.,10,Taking Now,M W,1 year  4 months ago
The material was presented intuitively  the lessons were accessible  the exercises helped cement understanding  and overall the class was great. John Tsitsiklis and his team make the intuition stick. I thoroughly enjoyed taking this class and I'd recommend it to anyone who wants to better understand probability and statistics.,10,Completed,Paul T,1 year  4 months ago
Well... why is there just 5 stars to rate this course? I could easily give twice than that! In fact  this is the best MOOC on probability and definitely one of the best MOOCs I've ever taken on edX or elsewhere. It is well-structured  well-paced and  which is of prime importance  perfectly taught by Prof. Tsitsiklis. Thorough explanations of the major topics are enriched by examples and supplemental videos delivered by students (not sure they are indeed students  but very smart guys anyway :). The objectives and outcomes of every course unit are clearly defined and precisely pursued in lectures. Oh  I can add more and more to that  but you've already got my point. What’s left to say is to express my deepest gratitude to Prof.  Tsitsiklis and his team for their amazing job! I have to admit  however  that I went through an archived version of this course in a rush to help me basically speed up with yet another MOOC  but I felt its depth and efforts invested by the Professor... I wish I would have time to take an active version of MITx:6.041x under 'normal conditions' to appreciate it to the full!,10,Taking Now,student,1 year  4 months ago
This is a top-notch challenging course. Everything is perfect from lectures to the design of problem sets exams and the engaging of the staff in the discussion board. The course will dominate your life but very rewarding as it sets the foundations to many other disciplines like data science  machine learning and others. I've completed the course and I highly recommend it.Thank you prof John Tsitsiklis for your excellent course.. Thank you MIT,10,Completed,Hamdy Tawfeek,1 year  6 months ago
One of the most rigorous  challenging and well-done courses I have ever taken. They use the same materials as the MIT courses taken by resident students.,10,Completed,Henry Harya,1 year  8 months ago
One of the best online courses I've taken  as good as the several other MIT data science courses. Challenging and inspiring. Not having the time to finish all exercise before due time  but I'd like to view them when being free. Thanks very much  professors.,10,Taking Now,Xiaoliang Zhou,1 year  9 months ago
Excellent course! Be prepared for a long haul - 10 units @ min 5h per unit. Very heavy on notation & math expression and may be difficult to do for long stretches. But if you persist  you will be rewarded with a very good understanding of the topic. The problems are very well set - infact they are beautiful!!,10,Taking Now,V R,1 year  11 months ago
